rms,distance,atom_a,atom_b
0.1438482825242848,9.647821897259965,2,73
0.020964590792195793,10.616110436172509,2,74
0.008045067189873996,9.647821897259965,2,75
0.020964590792195793,10.616110436172509,2,76
0.046686235128299704,7.337424650224689,2,77
0.046686235128299704,7.337424650224689,2,78
0.008045067189874246,9.647821897259965,2,79
0.008045067189874246,9.647821897259965,2,80
0.0689860062667635,8.85919486900745,3,1
0.393271712582977,4.429597434503724,3,2
2.4083955725465436,0.0,3,3
0.393271712582977,4.429597434503725,3,4
0.034097371609212786,7.672287813637204,3,5
0.034097371609212786,7.672287813637203,3,6
0.3932717125829768,4.429597434503724,3,7
0.3932717125829769,4.429597434503725,3,8
0.06898600626676371,8.85919486900745,3,9
0.03409737160921305,7.672287813637205,3,10
0.06898600626676371,8.85919486900745,3,11
0.03409733288190012,7.672287813637205,3,12
0.03409733288189999,7.672287813637203,3,13
0.393271712582977,4.429597434503725,3,14
0.393271712582977,4.429597434503726,3,15
0.03409733288189999,7.672287813637205,3,16
0.03136274793165842,7.927333184396772,3,17
0.2180597577799201,4.857977413792085,3,18
0.2180597577799201,4.857977413792058,3,19
0.03136274793165842,7.927333184396723,3,20
0.12833427487294116,10.103725960256513,3,21
0.29967729129852233,6.574289161930458,3,22
0.21805975777991995,4.857977413792086,3,23
0.2996772912985225,6.574289161930418,3,24
0.12833427487294122,10.103725960256527,3,25
0.12833427487294122,10.103725960256513,3,26
0.031362747931658504,7.9273331843967725,3,27
0.031362747931658504,7.9273331843967565,3,28
0.031362747931658566,7.927333184396754,3,29
0.29967729129852244,6.574289161930417,3,30
0.031362747931658566,7.927333184396721,3,31
0.01795188026516935,11.032071959143629,3,32
0.059736637372322786,6.981307568608229,3,33
0.8296582171650062,3.081556182188201,3,34
0.8296582171650062,3.0815561821881587,3,35
0.059736637372322786,6.981307568608173,3,36
0.0069779435346577125,9.37983593838558,3,37
0.02442590610111139,5.3960468804250175,3,38
0.8296582171650061,3.081556182188202,3,39
0.02442590610111139,5.396046880424969,3,40
0.006977943534657752,9.379835938385595,3,41
0.006977943534657752,9.37983593838558,3,42
0.059736637372322904,6.98130756860823,3,43
0.059736637372322904,6.981307568608211,3,44
0.059736637372322696,6.981307568608209,3,45
0.0244259061011115,5.396046880424968,3,46
0.05973663737232274,6.981307568608171,3,47
0.016792921703121286,10.37316999102933,3,48
0.01924802596359755,9.449373165624088,3,49
0.03417495339290625,5.5160359795718374,3,50
0.15533148789184717,3.287144580965208,3,51
0.03417495339290625,5.516035979571814,3,52
0.1165648231696239,7.07446014616612,3,53
0.1165648231696239,7.074460146166148,3,54
0.15533148789184714,3.287144580965228,3,55
0.15533148789184711,3.28714458096521,3,56
0.11656482316962406,7.07446014616613,3,57
0.03526103144545496,10.436090582923221,3,58
0.11656482316962406,7.074460146166148,3,59
0.03417495339290637,5.5160359795718374,3,60
0.019248025963597537,9.449373165624108,3,61
