quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
18,-0.531083,500.0,12.9164,9.1442e+19,-165819000000.0,-0.465445,-165819000000.0,9.1442e+19,1.63553,-0.465445,1.63553,4.75285e+17,-1.5373e-06,5.82984e-22,-7.87416e-23,4.8523599999999995e-22,-1.5373e-06,-2.6523100000000002e-24,-7.6598699999999995e-25,1.23967e-24,-7.1618e-05,1054100000000000.0,-1911470.0,-6.80328e-06,-1911470.0,1054100000000000.0,1.32253e-06,-6.80328e-06,1.32253e-06,2913790000000.0,22.67072228225149,4.111061107719275e-08,2.2201361846944267e-17,4.111061107719275e-08,22.67072228225149,7.801350010026837e-17,2.220136184694427e-17,7.801350010026838e-17,4361.711787524623
19,-0.531083,600.0,12.9073,9.07383e+19,-164543000000.0,-0.470281,-164543000000.0,9.07383e+19,1.3903,-0.470281,1.3903,4.56827e+17,-4.70486e-06,1.3802999999999999e-21,-7.20227e-23,5.62246e-22,-4.70486e-06,1.9532300000000003e-24,-6.9540000000000005e-25,9.93695e-25,-6.89166e-05,1219680000000000.0,-2211740.0,-6.92345e-06,-2211740.0,1219680000000000.0,-4.73947e-07,-6.92345e-06,-4.73947e-07,2745520000000.0,22.830443762563807,4.1400265466991745e-08,2.3502822437254105e-17,4.1400265466991745e-08,22.830443762563807,6.948180808845078e-17,2.3502822437254108e-17,6.94818080884508e-17,4534.748723829029
20,-0.531083,700.0,12.8976,8.99037e+19,-163030000000.0,-0.460958,-163030000000.0,8.99037e+19,1.19821,-0.460958,1.19821,4.35669e+17,-7.64553e-06,2.34134e-22,-6.47658e-23,-7.35528e-22,-7.64553e-06,8.8262e-24,-6.09843e-25,8.12166e-25,-6.53745e-05,1363680000000000.0,-2472870.0,-7.35388e-06,-2472870.0,1363680000000000.0,-2.56644e-06,-7.35388e-06,-2.56644e-06,2545690000000.0,23.02506820960673,4.1753307930732394e-08,2.4361589513448673e-17,4.1753307930732394e-08,23.02506820960673,6.332529273413155e-17,2.4361589513448673e-17,6.332529273413155e-17,4751.402612524694
21,-0.530766,100.0,12.92,9.17612e+19,-166398000000.0,-0.237712,-166398000000.0,9.17612e+19,4.03858,-0.237712,4.03858,5.84167e+17,2.30077e-06,3.61569e-23,1.76262e-23,-3.39753e-22,2.30077e-06,4.1779799999999998e-22,1.10802e-25,2.6837100000000003e-24,1.75678e-06,228364000000000.0,-414111.0,1.93533e-06,-414111.0,228364000000000.0,6.71232e-06,1.93533e-06,6.71232e-06,1111170000000.0,22.598156733819934,4.097906396379045e-08,9.195748592461702e-18,4.097906396379045e-08,22.598156733819934,1.5623009141620341e-16,9.195748592461702e-18,1.5623009141620341e-16,3549.7280395561506
22,-0.530766,200.0,12.9195,9.23259e+19,-167422000000.0,0.00786017,-167422000000.0,9.23259e+19,3.13953,0.00786017,3.13953,5.25073e+17,5.49034e-06,7.37977e-22,-1.53887e-22,-5.99325e-22,5.49034e-06,9.49166e-23,-8.711769999999999e-25,2.1394300000000004e-24,-4.15507e-05,448680000000000.0,-813626.0,-4.23544e-06,-813626.0,448680000000000.0,5.83018e-06,-4.23544e-06,5.83018e-06,2259450000000.0,22.459068697845087,4.072684045896785e-08,3.362051102796724e-19,4.072684045896785e-08,22.459068697845087,1.3428784178441037e-16,3.362051102796724e-19,1.3428784178441037e-16,3949.0770439355583
23,-0.530766,300.0,12.9156,9.21624e+19,-167125000000.0,-0.247696,-167125000000.0,9.21624e+19,2.44428,-0.247696,2.44428,5.15823e+17,4.65676e-06,1.00634e-21,-1.12885e-22,3.8017899999999998e-22,4.65676e-06,3.9045600000000003e-23,-8.1191e-25,1.9958e-24,-6.23557e-05,665477000000000.0,-1206760.0,-7.05239e-06,-1206760.0,665477000000000.0,3.97985e-06,-7.05239e-06,3.97985e-06,2890790000000.0,22.49212030659798,4.078665058896239e-08,1.0800619847833651e-17,4.078665058896239e-08,22.49212030659798,1.065812106340908e-16,1.0800619847833653e-17,1.065812106340908e-16,4018.6804166250927
24,-0.530766,400.0,12.9093,9.18479e+19,-166555000000.0,-0.394544,-166555000000.0,9.18479e+19,1.96415,-0.394544,1.96415,5.06373e+17,1.91755e-06,5.33516e-22,-8.26709e-23,7.58041e-23,1.91755e-06,2.66158e-23,-7.57251e-25,1.64755e-24,-6.82635e-05,872028000000000.0,-1581320.0,-7.06141e-06,-1581320.0,872028000000000.0,3.05923e-06,-7.06141e-06,3.05923e-06,3042370000000.0,22.558127635283235,4.090642190289162e-08,1.7576319885516885e-17,4.090642190289162e-08,22.558127635283235,8.749982005103388e-17,1.7576319885516885e-17,8.749982005103389e-17,4091.6807397565253
25,-0.530766,500.0,12.9014,9.13967e+19,-165737000000.0,-0.448166,-165737000000.0,9.13967e+19,1.63253,-0.448166,1.63253,4.89903e+17,-1.26286e-06,2.15142e-22,-7.41591e-23,-1.76967e-22,-1.26286e-06,2.12183e-23,-7.24321e-25,1.30422e-24,-6.79118e-05,1060450000000000.0,-1923000.0,-6.81863e-06,-1923000.0,1060450000000000.0,1.83401e-06,-6.81863e-06,1.83401e-06,2956630000000.0,22.655617950571372,4.108325740725702e-08,2.07254856724007e-17,4.108325740725702e-08,22.655617950571372,7.549652881169163e-17,2.07254856724007e-17,7.549652881169163e-17,4226.650412720449
26,-0.530766,600.0,12.8923,9.07876e+19,-164632000000.0,-0.457923,-164632000000.0,9.07876e+19,1.38956,-0.457923,1.38956,4.68571e+17,-4.35593e-06,-7.588799999999999e-22,-7.00315e-23,-6.6261599999999995e-22,-4.35593e-06,2.0499800000000002e-23,-6.68403e-25,1.0372700000000001e-24,-6.52134e-05,1226860000000000.0,-2224760.0,-6.98319e-06,-2224760.0,1226860000000000.0,-6.24829e-08,-6.98319e-06,-6.24829e-08,2775440000000.0,22.791528639043108,4.132959724569154e-08,2.2273604451719337e-17,4.132959724569154e-08,22.791528639043108,6.758889584874642e-17,2.2273604451719337e-17,6.758889584874642e-17,4415.954434802815
27,-0.530766,700.0,12.8827,9.00181e+19,-163237000000.0,-0.45161,-163237000000.0,9.00181e+19,1.19848,-0.45161,1.19848,4.45066e+17,-7.21865e-06,1.1524899999999999e-21,-6.38451e-23,2.12572e-22,-7.21865e-06,2.42258e-23,-5.89397e-25,8.46214e-25,-6.17816e-05,1371430000000000.0,-2486930.0,-7.47194e-06,-2486930.0,1371430000000000.0,-2.2544e-06,-7.47194e-06,-2.2544e-06,2568240000000.0,22.969240683862147,4.16519560123087e-08,2.330696736061606e-17,4.16519560123087e-08,22.969240683862147,6.18518951256323e-17,2.3306967360616062e-17,6.18518951256323e-17,4645.709635883152
