quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
33,-0.398487,600.0,16.799,4.97781e+19,-64880300000.0,-11.4799,-64880300000.0,4.97781e+19,22.4773,-11.4799,22.4773,2.74169e+17,-2.95886e-05,-1.758e-21,1.07194e-21,1.24473e-21,-2.95886e-05,-6.33134e-21,8.962130000000001e-24,-4.08595e-23,-1.63285e-05,772460000000000.0,-1006820.0,7.88431e-05,-1006820.0,772460000000000.0,0.000157949,7.88431e-05,0.000157949,2908510000000.0
34,-0.398487,700.0,16.7961,5.0397e+19,-65687100000.0,-9.42897,-65687100000.0,5.0397e+19,21.4061,-9.42897,21.4061,2.64209e+17,-3.2669e-05,-3.436399999999999e-21,-5.13818e-23,6.48782e-22,-3.2669e-05,-6.05915e-21,1.2849900000000001e-24,-3.52942e-23,-2.4361e-05,902290000000000.0,-1176040.0,0.000114318,-1176040.0,902290000000000.0,0.000164102,0.000114318,0.000164102,3239790000000.0
35,-0.398171,100.0,16.8099,4.46736e+19,-58227200000.0,-19.209,-58227200000.0,4.46736e+19,72.4501,-19.209,72.4501,4.37828e+17,3.63976e-06,-5.98052e-22,2.7969899999999997e-21,-5.78404e-22,3.63976e-06,-6.45129e-21,4.3250400000000003e-23,-1.2296299999999999e-22,4.04743e-05,116091000000000.0,-151313.0,-5.38654e-05,-151313.0,116091000000000.0,3.18851e-05,-5.38654e-05,3.18851e-05,735478000000.0
36,-0.398171,200.0,16.8074,4.65991e+19,-60736900000.0,-20.0421,-60736900000.0,4.65991e+19,40.3301,-20.0421,40.3301,3.68005e+17,-1.35771e-05,-1.6553699999999999e-21,2.24874e-21,-1.11296e-21,-1.35771e-05,-3.38736e-21,3.29349e-23,-5.72891e-23,2.1708e-05,243857000000000.0,-317842.0,-9.10426e-05,-317842.0,243857000000000.0,6.43194e-05,-9.10426e-05,6.43194e-05,1182930000000.0
37,-0.398171,300.0,16.8033,4.78716e+19,-62395400000.0,-19.2059,-62395400000.0,4.78716e+19,31.3213,-19.2059,31.3213,3.27668e+17,-1.9785e-05,-2.7462999999999997e-21,3.00809e-21,1.14957e-21,-1.9785e-05,-4.54817e-21,3.2939800000000004e-23,-5.1271800000000004e-23,1.09983e-05,372438000000000.0,-485433.0,-6.33547e-05,-485433.0,372438000000000.0,0.000105992,-6.33547e-05,0.000105992,1674130000000.0
38,-0.398171,400.0,16.7987,4.8778e+19,-63576800000.0,-16.8665,-63576800000.0,4.8778e+19,27.3757,-16.8665,27.3757,3.03499e+17,-2.37125e-05,-4.5925399999999996e-21,2.7601299999999997e-21,-2.91829e-21,-2.37125e-05,-5.57406e-21,2.63144e-23,-4.95182e-23,2.72251e-06,506602000000000.0,-660301.0,-1.42944e-05,-660301.0,506602000000000.0,0.00012911,-1.42944e-05,0.00012911,2141690000000.0
39,-0.398171,500.0,16.7944,4.95567e+19,-64591800000.0,-14.2652,-64591800000.0,4.95567e+19,24.9738,-14.2652,24.9738,2.87043e+17,-2.69034e-05,-6.98692e-21,1.82188e-21,-5.35133e-21,-2.69034e-05,-5.99538e-21,1.6607400000000002e-23,-4.53263e-23,-5.86996e-06,642100000000000.0,-836908.0,3.85721e-05,-836908.0,642100000000000.0,0.000146864,3.85721e-05,0.000146864,2580090000000.0
40,-0.398171,600.0,16.7907,5.02412e+19,-65484000000.0,-11.8116,-65484000000.0,5.02412e+19,23.3279,-11.8116,23.3279,2.74902e+17,-2.98755e-05,1.7578e-21,6.68571e-22,1.86602e-21,-2.98755e-05,-5.99264e-21,7.25506e-24,-3.9893400000000004e-23,-1.4576e-05,776086000000000.0,-1011540.0,8.53105e-05,-1011540.0,776086000000000.0,0.00015897,8.53105e-05,0.00015897,2972660000000.0
41,-0.398171,700.0,16.7877,5.08367e+19,-66260200000.0,-9.6177,-66260200000.0,5.08367e+19,22.1201,-9.6177,22.1201,2.65406e+17,-3.28638e-05,-2.07217e-21,-4.04791e-22,-2.37352e-21,-3.28638e-05,-5.76611e-21,-2.16372e-25,-3.44663e-23,-2.28371e-05,906757000000000.0,-1181860.0,0.00011996,-1181860.0,906757000000000.0,0.000164631,0.00011996,0.000164631,3308930000000.0
42,-0.397854,100.0,16.8017,4.40713e+19,-57442100000.0,-21.9954,-57442100000.0,4.40713e+19,75.1139,-21.9954,75.1139,3.97018e+17,-6.47718e-08,9.02077e-23,2.4895499999999998e-21,9.7465e-23,-6.47718e-08,4.68977e-22,4.73871e-23,-8.10127e-23,4.99463e-05,121336000000000.0,-158149.0,-4.85578e-05,-158149.0,121336000000000.0,1.73339e-05,-4.85578e-05,1.73339e-05,737759000000.0
