quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
20,-0.399121,700.0,16.8128,1.2715972348922937e+20,-165738930574.69354,-23.020221311982557,-165738930574.69354,1.2715972348922937e+20,51.15653216058132,-23.020221311982557,51.15653216058132,6.708325916677102e+17,-3.22038e-05,-3.64481e-21,6.15983e-22,-5.4471299999999994e-21,-3.22038e-05,-6.60932e-21,4.0718900000000004e-24,-3.6694800000000004e-23,-2.76617e-05,2292281916387206.0,-2987743.520262251,0.00026192836419290904,-2987743.520262251,2292281916387206.0,0.0004207413475561089,0.00026192836419290904,0.0004207413475561089,7967649710930.018
21,-0.398804,100.0,16.8261,1.1853879923920672e+20,-154502649567.76443,-35.86426657765685,-154502649567.76443,1.1853879923920672e+20,127.39097338500687,-35.86426657765685,127.39097338500687,1.2889114612731484e+18,1.40769e-06,-1.60246e-21,1.4937599999999999e-21,-1.74627e-21,1.40769e-06,-1.2367499999999999e-20,2.02672e-23,-1.48773e-22,1.47114e-05,272248628687041.4,-354846.676921353,-0.00015423546739073404,-354846.676921353,272248628687041.4,0.0001788359904322185,-0.00015423546739073404,0.0001788359904322185,1772267375503.9285
22,-0.398804,200.0,16.823,1.1738845292081077e+20,-153003246802.91187,-46.73763154393182,-153003246802.91187,1.1738845292081077e+20,89.23268730850509,-46.73763154393182,89.23268730850509,9.819984475431447e+17,-1.13491e-05,-1.2303699999999999e-21,2.20141e-21,3.67151e-22,-1.13491e-05,-6.54672e-21,2.5437e-23,-6.81711e-23,6.28617e-06,607335117510825.4,-791595.8557756224,-0.00020254744617184586,-791595.8557756224,607335117510825.4,0.00017986160040283657,-0.00020254744617184586,0.00017986160040283657,2918702208426.3496
23,-0.398804,300.0,16.819,1.2009954354134098e+20,-156536930004.98135,-44.51547660759266,-156536930004.98135,1.2009954354134098e+20,72.31474265803935,-44.51547660759266,72.31474265803935,8.531581199278875e+17,-1.83665e-05,-7.31511e-22,3.6134999999999996e-21,1.4118999999999998e-21,-1.83665e-05,-6.07652e-21,3.33288e-23,-5.56086e-23,2.29795e-06,941430902008637.0,-1227051.4725047878,-0.00014886898118561558,-1227051.4725047878,941430902008637.0,0.0002485423061304502,-0.00014886898118561558,0.0002485423061304502,4167579975200.7476
24,-0.398804,400.0,16.8147,1.2252830909488423e+20,-159702563983.36057,-39.37382381945654,-159702563983.36057,1.2252830909488423e+20,63.85910690177997,-39.37382381945654,63.85910690177997,7.825588870405217e+17,-2.26678e-05,-4.30492e-22,3.58787e-21,-1.37511e-22,-2.26678e-05,-6.6021199999999994e-21,2.9182e-23,-5.2330600000000005e-23,-3.16497e-06,1286221673362218.2,-1676451.380951591,-5.0093449953799524e-05,-1676451.380951591,1286221673362218.2,0.00031079626669683336,-5.0093449953799524e-05,0.00031079626669683336,5297008572724.481
25,-0.398804,500.0,16.8107,1.2469656560934407e+20,-162528637903.90002,-33.83024279959172,-162528637903.90002,1.2469656560934407e+20,58.77443244534486,-33.83024279959172,58.77443244534486,7.355953954430003e+17,-2.60874e-05,7.77745e-22,2.6699699999999997e-21,1.95675e-21,-2.60874e-05,-6.797009999999999e-21,2.00319e-23,-4.75346e-23,-1.03058e-05,1632400970727071.5,-2127658.1698271106,6.939550146539422e-05,-2127658.1698271106,1632400970727071.5,0.0003661884448396745,6.939550146539422e-05,0.0003661884448396745,6348053465286.563
26,-0.398804,600.0,16.8072,1.2660046319744339e+20,-165010018583.56357,-28.522274881085114,-165010018583.56357,1.2660046319744339e+20,55.44017340422889,-28.522274881085114,55.44017340422889,7.012415679737236e+17,-2.92675e-05,-3.63284e-21,1.4562999999999998e-21,2.4879199999999997e-21,-2.92675e-05,-6.6560299999999996e-21,1.05631e-23,-4.17206e-23,-1.8186e-05,1973105728383896.0,-2571724.7010993785,0.0001851690550030396,-2571724.7010993785,1973105728383896.0,0.00040378644398778306,0.0001851690550030396,0.00040378644398778306,7304339799001.751
27,-0.398804,700.0,16.8045,1.2824256845070026e+20,-167150299250.4765,-23.643492396229043,-167150299250.4765,1.2824256845070026e+20,53.06658956832399,-23.643492396229043,53.06658956832399,6.746696459872148e+17,-3.24485e-05,-5.56234e-21,2.89228e-22,-5.18312e-21,-3.24485e-05,-6.34064e-21,2.71589e-24,-3.60379e-23,-2.59707e-05,2304154968749766.5,-3003220.0671161725,0.0002780491255178643,-3003220.0671161725,2304154968749766.5,0.00042059761843109733,0.0002780491255178643,0.00042059761843109733,8140124660943.868
28,-0.398487,100.0,16.8181,1.1686384161451863e+20,-152319250163.34802,-41.87060404822848,-152319250163.34802,1.1686384161451863e+20,162.23912638066247,-41.87060404822848,162.23912638066247,1.2180709687830845e+18,4.05947e-06,-9.57854e-22,2.35658e-21,-7.76058e-22,4.05947e-06,-1.06648e-20,3.3506400000000004e-23,-1.45814e-22,2.90219e-05,283467200212495.9,-369468.5487997593,-0.0001486554407713127,-369468.5487997593,283467200212495.9,0.00013476119758827732,-0.0001486554407713127,0.00013476119758827732,1845571795851.333
29,-0.398487,200.0,16.8153,1.1842124934767942e+20,-154349424054.13605,-48.97800928004923,-154349424054.13605,1.1842124934767942e+20,97.45219664510265,-48.97800928004923,97.45219664510265,9.681568194862296e+17,-1.23383e-05,-1.73775e-21,2.22408e-21,4.47817e-22,-1.23383e-05,-5.131e-21,2.92058e-23,-6.388070000000001e-23,1.4313e-05,616751941790599.5,-803869.2964150008,-0.00022015529062236697,-803869.2964150008,616751941790599.5,0.00016811020447823219,-0.00022015529062236697,0.00016811020447823219,2961102300304.7544
30,-0.398487,300.0,16.8112,1.2143827767716277e+20,-158281698918.96075,-46.94321552452868,-158281698918.96075,1.2143827767716277e+20,76.6302096365109,-46.94321552452868,76.6302096365109,8.48753848882891e+17,-1.90879e-05,1.38878e-22,3.31258e-21,2.7880399999999997e-21,-1.90879e-05,-5.3358899999999994e-21,3.3146500000000004e-23,-5.360820000000001e-23,6.76665e-06,948850918087357.9,-1236724.9559363683,-0.00015699788984162552,-1236724.9559363683,948850918087357.9,0.00025843779972834304,-0.00015699788984162552,0.00025843779972834304,4223429006633.8037
31,-0.398487,400.0,16.8068,1.238336775409712e+20,-161403700841.5329,-41.39450132162774,-161403700841.5329,1.238336775409712e+20,67.16949664177795,-41.39450132162774,67.16949664177795,7.815399502078506e+17,-2.32153e-05,-1.88951e-21,3.18517e-21,1.3207999999999999e-21,-2.32153e-05,-6.0968299999999995e-21,2.78138e-23,-5.09916e-23,-1.45826e-07,1293308032543590.8,-1685688.5438251006,-4.380247748387468e-05,-1685688.5438251006,1293308032543590.8,0.00032018485846990876,-4.380247748387468e-05,0.00032018485846990876,5391869795232.1
32,-0.398487,500.0,16.8026,1.2592467965073734e+20,-164129164374.56427,-35.277543756627594,-164129164374.56427,1.2592467965073734e+20,61.49270952212565,-35.277543756627594,61.49270952212565,7.365989327265631e+17,-2.65174e-05,1.2422399999999999e-21,2.2579499999999998e-21,-5.6223e-23,-2.65174e-05,-6.40392e-21,1.83884e-23,-4.6489999999999997e-23,-8.0255e-06,1640280406687525.8,-2137927.102490882,8.42388701918094e-05,-2137927.102490882,1640280406687525.8,0.0003709109732329109,8.42388701918094e-05,0.0003709109732329109,6481824215208.0205
33,-0.398487,600.0,16.799,1.2776004924530437e+20,-166521227669.3992,-29.464213968214327,-166521227669.3992,1.2776004924530437e+20,57.690047528963134,-29.464213968214327,57.690047528963134,7.036798299158838e+17,-2.95886e-05,-1.758e-21,1.07194e-21,1.24473e-21,-2.95886e-05,-6.33134e-21,8.962130000000001e-24,-4.08595e-23,-1.63285e-05,1982589284043139.8,-2584095.6722164433,0.0002023580317178128,-2584095.6722164433,1982589284043139.8,0.0004053905636865726,0.0002023580317178128,0.0004053905636865726,7464957096202.149
34,-0.398487,700.0,16.7961,1.2934851273583372e+20,-168591953706.17264,-24.20031442607286,-168591953706.17264,1.2934851273583372e+20,54.94071469481378,-24.20031442607286,54.94071469481378,6.781165783959738e+17,-3.2669e-05,-3.436399999999999e-21,-5.13818e-23,6.48782e-22,-3.2669e-05,-6.05915e-21,1.2849900000000001e-24,-3.52942e-23,-2.4361e-05,2315809860833291.5,-3018414.288903107,0.00029340760916195485,-3018414.288903107,2315809860833291.5,0.0004211828012972158,0.00029340760916195485,0.0004211828012972158,8315217534306.144
35,-0.398171,100.0,16.8099,1.146588828413505e+20,-149445437640.5726,-49.301656470477006,-149445437640.5726,1.146588828413505e+20,185.94981214283445,-49.301656470477006,185.94981214283445,1.1237256311705975e+18,3.63976e-06,-5.98052e-22,2.7969899999999997e-21,-5.78404e-22,3.63976e-06,-6.45129e-21,4.3250400000000003e-23,-1.2296299999999999e-22,4.04743e-05,297958175923481.0,-388358.6623727048,-0.0001382504787570843,-388358.6623727048,297958175923481.0,8.18360272125986e-05,-0.0001382504787570843,8.18360272125986e-05,1887671596522.1245
36,-0.398171,200.0,16.8074,1.1960085480938129e+20,-155886812373.45593,-51.439883864175506,-155886812373.45593,1.1960085480938129e+20,103.51089258264277,-51.439883864175506,103.51089258264277,9.445185116048671e+17,-1.35771e-05,-1.6553699999999999e-21,2.24874e-21,-1.11296e-21,-1.35771e-05,-3.38736e-21,3.29349e-23,-5.72891e-23,2.1708e-05,625881307820350.5,-815770.5812842601,-0.00023366916494242543,-815770.5812842601,625881307820350.5,0.00016508162648691755,-0.00023366916494242543,0.00016508162648691755,3036098104462.5625
37,-0.398171,300.0,16.8033,1.2286684251611678e+20,-160143504406.16385,-49.293700036771014,-160143504406.16385,1.2286684251611678e+20,80.38898291471453,-49.293700036771014,80.38898291471453,8.409899095407497e+17,-1.9785e-05,-2.7462999999999997e-21,3.00809e-21,1.14957e-21,-1.9785e-05,-4.54817e-21,3.2939800000000004e-23,-5.1271800000000004e-23,1.09983e-05,955896211804441.5,-1245908.2203879987,-0.0001626056356494419,-1245908.2203879987,955896211804441.5,0.0002720381681825602,-0.0001626056356494419,0.0002720381681825602,4296807858135.232
38,-0.398171,400.0,16.7987,1.2519320106808931e+20,-163175675625.60376,-43.289415839413834,-163175675625.60376,1.2519320106808931e+20,70.26223942104417,-43.289415839413834,70.26223942104417,7.789579591406789e+17,-2.37125e-05,-4.5925399999999996e-21,2.7601299999999997e-21,-2.91829e-21,-2.37125e-05,-5.57406e-21,2.63144e-23,-4.95182e-23,2.72251e-06,1300240396233879.5,-1694722.9459686833,-3.668788579580335e-05,-1694722.9459686833,1300240396233879.5,0.00033137263089714645,-3.668788579580335e-05,0.00033137263089714645,5496843388320.887
39,-0.398171,500.0,16.7944,1.2719180588320516e+20,-165780766016.43796,-36.6129413234759,-165780766016.43796,1.2719180588320516e+20,64.09754325380804,-36.6129413234759,64.09754325380804,7.3672212911943e+17,-2.69034e-05,-6.98692e-21,1.82188e-21,-5.35133e-21,-2.69034e-05,-5.99538e-21,1.6607400000000002e-23,-4.53263e-23,-5.86996e-06,1648008413748414.2,-2148000.97419928,9.899882469388756e-05,-2148000.97419928,1648008413748414.2,0.0003769398967088414,9.899882469388756e-05,0.0003769398967088414,6622037109839.816
40,-0.398171,600.0,16.7907,1.2894863777731946e+20,-168070678968.854,-30.31555237475591,-168070678968.854,1.2894863777731946e+20,59.87319027422774,-30.31555237475591,59.87319027422774,7.055611414986241e+17,-2.98755e-05,1.7578e-21,6.68571e-22,1.86602e-21,-2.98755e-05,-5.99264e-21,7.25506e-24,-3.9893400000000004e-23,-1.4576e-05,1991895744887637.0,-2596209.984181702,0.00021895720570173506,-2596209.984181702,1991895744887637.0,0.0004080110536265152,0.00021895720570173506,0.0004080110536265152,7629603942085.907
41,-0.398171,700.0,16.7877,1.3047704302632613e+20,-170062867305.17468,-24.684707243276936,-170062867305.17468,1.3047704302632613e+20,56.77326103871094,-24.684707243276936,56.77326103871094,6.811887884430954e+17,-3.28638e-05,-2.07217e-21,-4.04791e-22,-2.37352e-21,-3.28638e-05,-5.76611e-21,-2.16372e-25,-3.44663e-23,-2.28371e-05,2327274825144480.0,-3033351.851538235,0.0003078883185068677,-3033351.851538235,2327274825144480.0,0.0004225405282102712,0.0003078883185068677,0.0004225405282102712,8492671671865.036
42,-0.397854,100.0,16.8017,1.13113024770021e+20,-147430406639.74112,-56.453207076408454,-147430406639.74112,1.13113024770021e+20,192.78669862865132,-56.453207076408454,192.78669862865132,1.0189830313184362e+18,-6.47718e-08,9.02077e-23,2.4895499999999998e-21,9.7465e-23,-6.47718e-08,4.68977e-22,4.73871e-23,-8.10127e-23,4.99463e-05,311419948435722.75,-405903.88199018524,-0.00012462803761581178,-405903.88199018524,311419948435722.75,4.448904071495661e-05,-0.00012462803761581178,4.448904071495661e-05,1893525991774.8267
